ANO,COD_MUNICIPIO,NOME_MUNICIPIO,DEPENDENCIA_ADM,MEDIA_GERAL_CN,MEDIA_GERAL_CH,MEDIA_GERAL_LC,MEDIA_GERAL_MT,MEDIA_GERAL_REDACAO,MEDIA_CN_F,MEDIA_CH_F,MEDIA_LC_F,MEDIA_MT_F,MEDIA_REDACAO_F,MEDIA_CN_M,MEDIA_CH_M,MEDIA_LC_M,MEDIA_MT_M,MEDIA_REDACAO_M,TAXA_APROVACAO_3S,NOTA_SAEB_MT,NOTA_SAEB_LC,IDEB,PIB_MUNICIPIO,PIB_PER_CAPITA,VALOR_ADM_PUBLICA,ACESSO_A_INTERNET(%),ALUNOS_COM_ACESSO_A_INTERNET(%),ESCOLAS_COM_LABORATÓRIO_DE_INFORMÁTICA(%),ESCOLAS_COM_DESKTOP_PARA_ALUNOS(%),ESCOLAS_COM COMPUTADOR_PORTATIL_PARA_ALUNOS(%),ESCOLAS_COM_TABLET_PARA _ALUNOS(%),ESCOLAS_COM_EQUIPAMENTOS_PARA_ACESSO_A_INTERNET_DOS_ALUNOS(%),ESCOLAS_COM_ATENDIMENTO_EDUCACIONAL_ESPECIALIZADO(%),ESCOLAS_COM_EJA_NO_ENSINO_MEDIO(%),TOTAL_DE_ESCOLAS_POR_DEPENDENCIA
2017,2501575,Barra de Santana,2,467.9,475.08,452.65,477.07,480.43,448.84,453.24,431.08,466.33,440.83,487.8,497.87,475.16,488.28,521.74,92.1,245.54,235.7,3.3,63430.528,7696.95,40788.209,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,1
2017,2501609,Barra de Santa Rosa,2,492.95,488.21,480.97,472.74,510.88,499.28,481.62,480.7,467.49,529.74,484.45,497.08,481.33,479.81,485.52,84.2,256.3,252.67,3.3,127545.094,8270.87,72473.513,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,1
2017,2501708,Barra de São Miguel,2,466.6,462.68,470.32,463.66,453.57,465.5,470.79,466.25,466.59,459.09,470.62,432.92,485.23,452.9,433.33,88.5,231.59,229.87,2.8,46564.461,7788.0,29681.618,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,1
2017,2501708,Barra de São Miguel,3,452.6,416.95,400.9,452.55,500.0,517.2,439.1,423.5,491.9,480.0,388.0,394.8,378.3,413.2,520.0,88.5,231.59,229.87,2.8,46564.461,7788.0,29681.618,,,,,,,,,,
2017,2501807,Bayeux,2,474.06,466.9,476.17,469.54,458.54,465.81,457.43,473.64,460.27,465.71,484.2,478.52,479.27,480.9,449.74,83.5,239.69,236.14,2.6,1356044.944,13978.4,429774.169,85.71,0.0,71.43,0.0,0.0,0.0,0.0,0.0,71.43,7
2017,2501807,Bayeux,3,446.58,518.78,512.78,437.9,472.0,446.58,518.78,512.78,437.9,472.0,,,,,,82.9,239.69,236.14,2.7,1356044.944,13978.4,429774.169,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2017,2501906,Belém,2,467.6,467.45,464.61,464.17,504.72,465.64,460.42,465.17,460.03,516.6,471.3,480.67,463.55,471.96,482.4,87.8,229.04,238.96,2.7,170525.016,9642.35,79969.034,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,1
2017,2502003,Belém do Brejo do Cruz,2,467.92,452.32,458.31,456.28,534.23,458.99,449.33,458.6,442.64,553.1,479.19,456.09,457.95,473.47,510.43,94.8,243.45,235.41,2.8,64521.188,8781.98,37909.412,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,1
2017,2502052,Bernardino Batista,2,487.45,497.06,496.22,476.82,501.18,484.18,507.44,505.38,481.9,511.67,495.3,472.16,474.26,464.62,476.0,86.2,262.91,265.27,2.6,31613.159,9195.22,21568.241,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,1
2017,2502102,Boa Ventura,2,458.74,442.99,442.91,452.52,455.56,450.96,454.59,452.36,427.56,468.57,463.7,435.62,436.9,468.41,447.27,96.8,231.23,225.6,3.0,41912.257,7835.53,26610.032,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,1
